oeisID,n,boundary,buckets,arcCodes,arcCodeBitWidth,crossingsBitWidth
A000682,39,29,89439,54669,60,14
A000682,39,28,182877,112569,58,16
A000682,39,27,370976,223916,56,17
A000682,39,26,737183,445580,54,19
A000682,39,25,1436792,852764,52,21
A000682,39,24,2733444,1610132,50,22
A000682,39,23,4994096,2875024,48,24
A000682,39,22,8779423,4952688,46,26
A000682,39,21,14532802,7974228,44,27
A000682,39,20,22886195,12248605,42,29
A000682,39,19,33811401,17635953,40,31
A000682,39,18,46318997,23218716,38,32
A000682,39,17,56431443,26617330,36,34
A000682,39,16,57413054,24108717,34,36
A000682,39,15,43415133,14664097,32,38
A000682,39,14,21545392,5143192,30,39
A000682,39,13,6987797,1439437,28,41
A000682,39,12,1961369,406418,26,43
A000682,39,11,555469,115907,24,44
A000682,39,10,159137,33536,22,46
A000682,39,9,46181,9823,20,48
A000682,39,8,13623,2950,18,50
A000682,39,7,4087,895,16,51
A000682,39,6,1254,286,14,53
A000682,39,5,392,90,12,55
A000682,39,4,125,32,10,56
A000682,39,3,40,10,8,58
A000682,39,2,12,4,6,59
A000682,39,1,3,1,4,60
A000682,40,40,0,22,86,1
A000682,40,39,58,58,80,1
A000682,40,38,205,129,78,2
A000682,40,37,438,277,76,3
A000682,40,36,951,641,74,5
A000682,40,35,2188,1346,72,6
A000682,40,34,4595,2965,70,8
A000682,40,33,10050,6260,68,9
A000682,40,32,21299,13295,66,11
A000682,40,31,44686,27818,64,13
A000682,40,30,93962,57672,62,14
A000682,40,29,191866,118076,60,16
A000682,40,28,394136,239114,58,17
A000682,40,27,783893,474237,56,19
A000682,40,26,1554215,929288,54,21
A000682,40,25,2973124,1757121,52,22
A000682,40,24,5579781,3252816,50,24
A000682,40,23,9963639,5670826,48,26
A000682,40,22,17076571,9515724,46,27
A000682,40,21,27635220,14985172,44,29
A000682,40,20,42386326,22482664,42,31
A000682,40,19,60954311,31323643,40,32
A000682,40,18,80046981,39377283,38,34
